customer_id,tenure_months,monthly_charges,total_charges,num_users,num_support_tickets,last_login_days_ago,feature_adoption_pct,plan_type,payment_method,churned
CUST_00000,39,1185.48,42945.88,2,4,49,61.2,Free,UPI,0
CUST_00001,52,4547.55,226661.25,40,4,46,59.9,Basic,Net Banking,0
CUST_00002,29,3695.61,106679.97,38,5,86,69.4,Free,Net Banking,1
CUST_00003,15,4718.2,67394.94,48,3,45,58.6,Free,UPI,0
CUST_00004,43,3214.81,124199.12,11,1,79,48.5,Basic,UPI,0
CUST_00005,8,2630.3,18065.39,17,1,34,65.8,Free,Card,0
CUST_00006,21,768.72,15909.1,43,1,60,73.8,Basic,UPI,0
CUST_00007,39,3522.39,124575.81,8,5,88,26.4,Free,UPI,1
CUST_00008,58,3119.94,169693.55,22,6,78,52.2,Free,UPI,1
CUST_00009,19,4955.94,84227.56,4,1,50,48.5,Free,Net Banking,0
CUST_00010,23,1576.21,30757.68,11,2,62,8.8,Basic,Card,1
CUST_00011,11,2888.32,28892.63,8,0,7,84.3,Basic,Net Banking,0
CUST_00012,11,3429.31,36514.57,9,0,33,40.9,Pro,Net Banking,0
CUST_00013,24,3400.66,71549.68,26,4,24,11.9,Enterprise,Invoice,0
CUST_00014,53,3025.82,149743.3,2,2,43,48.5,Free,Card,0
CUST_00015,36,3996.18,116308.68,16,1,82,20.3,Free,Card,1
CUST_00016,40,1422.42,56174.64,31,2,42,71.9,Pro,Net Banking,0
CUST_00017,24,3765.32,89824.24,6,0,49,59.3,Free,UPI,0
CUST_00018,3,3288.81,8655.41,21,0,12,30.7,Free,Net Banking,0
CUST_00019,22,4532.34,89708.1,26,2,45,95.3,Free,Invoice,0
CUST_00020,53,4312.37,190184.9,19,2,75,32.7,Basic,Card,0
CUST_00021,2,1918.16,3219.59,28,0,78,57.7,Basic,UPI,1
CUST_00022,24,1743.07,38504.29,8,2,86,81.1,Enterprise,Card,0
CUST_00023,44,4917.44,200226.55,14,1,52,53.8,Basic,Net Banking,0
CUST_00024,30,2872.69,74832.54,24,3,62,96.3,Pro,Card,0
CUST_00025,38,4578.89,152214.27,48,4,1,85.2,Basic,Card,0
CUST_00026,2,1237.46,2230.51,44,4,39,92.5,Free,Card,1
CUST_00027,21,3392.69,70388.57,37,2,22,40.4,Free,Net Banking,0
CUST_00028,33,4144.37,113504.9,26,4,58,57.1,Pro,UPI,0
CUST_00029,12,4763.28,52032.48,31,4,68,84.8,Free,Card,0
CUST_00030,58,2018.03,94998.68,32,2,33,90.8,Free,Card,0
CUST_00031,22,3762.42,73806.4,41,2,73,94.7,Free,Card,0
CUST_00032,44,2924.66,113171.09,2,0,26,88.5,Free,Net Banking,0
CUST_00033,25,772.83,16091.09,25,4,54,74.4,Free,Card,0
CUST_00034,49,3605.0,147109.8,44,3,3,7.3,Basic,UPI,0
CUST_00035,27,3605.43,86640.36,2,2,67,34.9,Free,UPI,0
CUST_00036,59,4687.73,228263.48,42,3,71,17.2,Basic,Invoice,1
CUST_00037,42,2737.91,98773.22,1,3,69,19.7,Pro,Card,1
CUST_00038,28,1536.13,35021.96,36,2,88,32.6,Pro,UPI,0
CUST_00039,16,700.54,9633.36,12,6,26,12.1,Basic,Card,1
CUST_00040,15,2370.39,32239.86,9,1,46,28.1,Basic,UPI,1
CUST_00041,47,1858.63,82880.75,36,2,39,95.9,Free,UPI,0
CUST_00042,51,3924.9,193380.41,41,2,83,34.6,Pro,UPI,0
CUST_00043,44,2094.2,79941.93,28,2,26,20.2,Basic,Net Banking,0
CUST_00044,55,4770.82,259183.22,38,3,6,73.2,Basic,UPI,0
CUST_00045,52,4830.4,213032.71,33,2,22,83.7,Pro,Card,0
CUST_00046,57,3294.09,153236.36,42,3,83,34.8,Basic,Net Banking,0
CUST_00047,3,4678.97,13826.38,46,1,63,31.5,Basic,UPI,1
CUST_00048,37,3923.84,131819.83,22,1,28,28.0,Basic,UPI,0
CUST_00049,51,2960.87,131415.46,25,0,60,42.4,Basic,Invoice,0
CUST_00050,7,1311.39,8992.67,18,6,43,13.3,Pro,Net Banking,1
CUST_00051,21,2563.69,51422.83,6,2,68,68.6,Basic,Net Banking,0
CUST_00052,9,3023.94,26303.44,18,6,26,83.1,Free,UPI,0
CUST_00053,39,4387.83,146905.77,16,2,11,68.0,Basic,Card,0
CUST_00054,18,2666.0,46773.76,15,1,16,45.0,Enterprise,Invoice,0
CUST_00055,4,4539.54,16886.26,48,1,36,32.5,Free,Card,1
CUST_00056,25,3534.57,83734.24,8,0,33,43.9,Pro,Net Banking,0
CUST_00057,14,1116.5,13481.49,13,2,35,45.3,Basic,Invoice,0
CUST_00058,50,4977.42,211292.25,43,2,5,68.3,Basic,Net Banking,0
CUST_00059,58,2872.55,146887.57,7,5,31,93.2,Pro,Card,0
CUST_00060,9,2263.36,18639.64,17,1,72,11.7,Pro,Net Banking,1
CUST_00061,26,3466.01,84096.26,32,1,21,95.6,Pro,UPI,0
CUST_00062,53,990.02,47202.59,22,2,9,91.5,Free,UPI,0
CUST_00063,2,3364.42,6323.58,13,2,28,16.2,Free,Net Banking,1
CUST_00064,20,2742.06,51642.11,47,2,10,22.4,Basic,UPI,0
CUST_00065,28,2330.03,60883.72,23,0,65,34.6,Pro,Card,0
